country,latitude,longitude
Malawi,-13.254308,34.301525
Malaysia,4.210484,101.975766
Maldives,3.202778,73.22068
Mali,17.570692,-3.996166
Malta,35.937496,14.375416
Maroko,31.791702,-7.09262
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.552152
Meksiko,23.634501,-102.552784
Mesir,26.820553,30.802498
Mikronesia,7.425554,150.550812
Moldova,47.411631,28.369885
Monako,43.750298,7.412841
Mongolia,46.862496,103.846656
Montenegro,42.708678,19.37439
Mozambik,-18.665695,35.529562
Myanmar,21.913965,95.956223
Namibia,-22.95764,18.49041
Nauru,-0.522778,166.931503
Nepal,28.394857,84.124008
Netherlands Antilles,12.226079,-69.060087
Nikaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277
Nikaragua,12.865416,-85.207229
Norwegia,60.472024,8.468946
Oman,21.512583,55.923255
Pakistan,30.375321,69.345116
Palau,7.51498,134.58252
Palestina,31.952162,35.233154
Panama,8.537981,-80.782127
Papua Nugini,-6.314993,143.95555
Paraguay,-23.442503,-58.443832
Peru,-9.189967,-75.015152
Polandia,51.919438,19.145136
Portugal,39.399872,-8.224454
Puerto Riko,18.220833,-66.590149
Qatar,25.354826,51.183884
Republik Afrika Tengah,6.611111,20.939444
Republik Dominika,18.735693,-70.162651
Republik Kongo,-0.228021,15.827659
Republik Demokratik Kongo,-4.038333,21.758664
Republik Irlandia,53.41291,-8.24389
Republik Rakyat Tiongkok,35.86166,104.195397
Republik Rakyat Demokratik Korea,40.339852,127.510093
Rumania,45.943161,24.96676
Rusia,61.52401,105.318756
Rwanda,-1.940278,29.873888
Saint Kitts dan Nevis,17.357822,-62.782998
Saint Lucia,13.909444,-60.978893
Saint Vincent dan Grenadines,12.984305,-61.287228
Samoa,-13.759029,-172.104629
San Marino,43.94236,12.457777
Sao Tome dan Principe,0.18636,6.613081
Saudi Arabia,23.885942,45.079162
Scotland,56.490671,-4.202646
Senegal,14.497401,-14.452362
Serbia,44.016521,21.005859
Seychelles,-4.679574,55.491977
Sierra Leone,8.460555,-11.779889
Singapura,1.352083,103.819836
Siprus,35.126413,33.429859
Slovakia,48.669026,19.699024
Slovenia,46.151241,14.995463
Somalia,5.152149,46.199616
Spanyol,40.463667,-3.74922
Sri Lanka,7.873054,80.771797
Sudan,12.862807,30.217636
Sudan Selatan,6.876991,31.306978
Suriah,34.802075,38.996815
Suriname,3.919305,-56.027783
Swaziland,-26.522503,31.465866
Swedia,60.128161,18.643501
Swiss,46.818188,8.227512
Tadjikistan,38.861034,71.276093
Taiwan,23.69781,120.960515
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.992541
Timor-Leste,-8.874217,125.727539
Togo,8.619543,0.824782
Tonga,-21.178986,-175.198242
Trinidad dan Tobago,10.691803,-61.222503
Tunisia,33.886917,9.537499
Turki,38.963745,35.243322
Turkmenistan,38.969719,59.556278
Tuvalu,-7.109535,177.64933
Uganda,1.373333,32.290275
Ukraina,48.379433,31.16558
Uni Emirat Arab,23.424076,53.847818
Uruguay,-32.522779,-55.765835
Uzbekistan,41.377491,64.585262
Vanuatu,-15.376706,166.959158
Vatikan,41.902916,12.453389
Venezuela,6.42375,-66.58973
Vietnam,14.058324,108.277199
Wales,52.130661,-3.783712
Yaman,15.552727,48.516388
Yordania,30.585164,36.238414
Yunani,39.074208,21.824312
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
